pool,day,class,start,end
coffman,Tuesday,Senior & Special Needs Swim,8:00 am,9:00 am
coffman,Tuesday,Water Exercise,11:30 am,12:30 pm
coffman,Tuesday,Senior & Special Needs,11:30 am,12:30 pm
coffman,Tuesday,Lap Swim,12:30 pm,1:30 pm
coffman,Tuesday,Recreation Swim,2:30 pm,3:45 pm
coffman,Tuesday,Lap Swim,6:30 pm,7:30 pm
coffman,Wednesday,Water Exercise,11:30 am,12:30 pm
coffman,Wednesday,Senior & Special Needs,11:30 am,12:30 pm
coffman,Wednesday,Lap Swim,12:30 pm,1:30 pm
coffman,Wednesday,Recreation Swim,2:30 pm,3:45 pm
coffman,Wednesday,Lap Swim,6:30 pm,7:30 pm
coffman,Wednesday,Family Swim,7:30 pm,8:30 pm
coffman,Thursday,Senior & Special Needs Swim,8:00 am,9:00 am
coffman,Thursday,Water Exercise,11:30 am,12:30 pm
coffman,Thursday,Senior & Special Needs,11:30 am,12:30 pm
coffman,Thursday,Lap Swim,12:30 pm,1:30 pm
coffman,Thursday,Recreation Swim,2:30 pm,3:45 pm
coffman,Thursday,Lap Swim,6:30 pm,7:30 pm
coffman,Friday,Water Exercise,11:30 am,12:30 pm
coffman,Friday,Senior & Special Needs,11:30 am,12:30 pm
coffman,Friday,Lap Swim,12:30 pm,1:30 pm
coffman,Friday,Recreation Swim,2:30 pm,3:45 pm
coffman,Friday,Lap Swim,6:30 pm,7:30 pm
coffman,Saturday,Recreation Swim,1:30 pm,3:00 pm
coffman,Saturday,Lap Swim,3:30 pm,5:00 pm
garfield,Monday,Lap Swim,6:00 am,7:45 am
garfield,Monday,Senior Swim and Special Needs,11:00 am,12:00 pm
garfield,Monday,Lap Swim,12:00 pm,1:30 pm
garfield,Monday,Recreation Swim,3:00 pm,4:30 pm
garfield,Monday,Lap Swim,6:00 pm,7:00 pm
garfield,Tuesday,Lap Swim,6:00 am,7:45 am
garfield,Tuesday,Senior Swim and Special Needs,11:00 am,12:00 pm
garfield,Tuesday,Water Exercise,11:00 am,12:00 pm
garfield,Tuesday,Recreation Swim,2:00 pm,3:30 pm
garfield,Tuesday,Lap Swim,6:00 pm,7:00 pm
garfield,Wednesday,Lap Swim,6:00 am,7:45 am
garfield,Wednesday,Senior Swim and Special Needs,11:00 am,12:00 pm
garfield,Wednesday,Lap Swim,12:00 pm,1:30 pm
garfield,Wednesday,Recreation Swim,3:00 pm,4:30 pm
garfield,Wednesday,Lap Swim,6:00 pm,7:00 pm
garfield,Thursday,Lap Swim,6:00 am,7:45 am
garfield,Thursday,Senior Swim and Special Needs,11:00 am,12:00 pm
garfield,Thursday,Water Exercise,11:00 am,12:00 pm
garfield,Thursday,Recreation Swim,2:00 pm,3:30 pm
garfield,Thursday,Lap Swim,6:00 pm,7:00 pm
garfield,Friday,Lap Swim,6:00 am,7:45 am
garfield,Friday,Senior Swim and Special Needs,11:00 am,12:00 pm
garfield,Friday,Lap Swim,12:00 pm,1:30 pm
garfield,Friday,Recreation Swim,4:30 pm,6:00 pm
garfield,Friday,Lap Swim,6:10 pm,7:10 pm
garfield,Saturday,Lap Swim,9:00 am,10:00 am
garfield,Saturday,Water Exercise,11:00 am,12:00 pm
garfield,Saturday,Recreation Swim,1:30 pm,3:00 pm
